photo_index,source_filename,repo_path,raw_url,sku,item_name,assigned,size_kb
19,BF114303-829D-4333-87D5-9082D0F09A13.jpeg,images/est-1921-mercury-redstone-liberty-bell-7/01-019.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1921-mercury-redstone-liberty-bell-7/01-019.jpg,EST-1921,Mercury Redstone Liberty Bell 7,yes,167.8
54,135619F6-A04C-4150-A2AA-A19771A74196.jpeg,images/est-1921-mercury-redstone-liberty-bell-7/02-054.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1921-mercury-redstone-liberty-bell-7/02-054.jpg,EST-1921,Mercury Redstone Liberty Bell 7,yes,271.0
17,53E00D2C-D674-4E7D-A500-07835C6277EF.jpeg,images/est-7259-nike-x/01-017.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7259-nike-x/01-017.jpg,EST-7259,Nike-X,yes,252.3
53,E9E4287E-8332-409D-AA97-13F6306A20A3.jpeg,images/est-7259-nike-x/02-053.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7259-nike-x/02-053.jpg,EST-7259,Nike-X,yes,265.3
51,BD7F8C11-348A-49AB-A504-73D3D9C5C239.jpeg,images/est-7259-nike-x/03-051.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7259-nike-x/03-051.jpg,EST-7259,Nike-X,yes,287.3
50,C478EFD2-9E69-4578-93D7-599F9037732A.jpeg,images/est-7259-nike-x/04-050.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7259-nike-x/04-050.jpg,EST-7259,Nike-X,yes,305.5
20,3B855F6A-E100-4683-B579-02EA8C40990C.jpeg,images/est-7245-comanche-3/01-020.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7245-comanche-3/01-020.jpg,EST-7245,Comanche-3,yes,190.2
28,5FFE414E-A6AA-4FA7-8F74-53079F306103.jpeg,images/est-7245-comanche-3/02-028.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7245-comanche-3/02-028.jpg,EST-7245,Comanche-3,yes,356.2
27,1666B49D-7D3C-4D54-82DE-161AAD16AA15.jpeg,images/est-7245-comanche-3/03-027.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7245-comanche-3/03-027.jpg,EST-7245,Comanche-3,yes,339.1
25,8E3D5432-1427-4AF7-B545-6CBA8A255A97.jpeg,images/est-2231-model-rocket-fin-alignment-guide/01-025.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2231-model-rocket-fin-alignment-guide/01-025.jpg,EST-2231,Model Rocket Fin Alignment Guide,yes,145.7
33,E4D7781D-1036-4036-BFE0-E3E17AEC717C.jpeg,images/est-2231-model-rocket-fin-alignment-guide/02-033.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2231-model-rocket-fin-alignment-guide/02-033.jpg,EST-2231,Model Rocket Fin Alignment Guide,yes,273.4
31,00019538-1048-4350-8C6C-0553E6096773.jpeg,images/est-2231-model-rocket-fin-alignment-guide/03-031.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2231-model-rocket-fin-alignment-guide/03-031.jpg,EST-2231,Model Rocket Fin Alignment Guide,yes,286.9
26,E4072229-2789-42FF-A7DB-160BE88BD30E.jpeg,images/est-7243-black-brant-ii/01-026.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7243-black-brant-ii/01-026.jpg,EST-7243,Black Brant II,yes,149.9
34,0571E787-EBC2-43BB-9A72-F1C9F9EDB828.jpeg,images/est-7243-black-brant-ii/02-034.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7243-black-brant-ii/02-034.jpg,EST-7243,Black Brant II,yes,303.3
21,EFAE730D-36A0-485F-8B09-F5DE8D7D9E65.jpeg,images/est-2483-phantom-blue/01-021.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2483-phantom-blue/01-021.jpg,EST-2483,Phantom Blue,yes,153.7
37,E0018E1F-EFC4-4141-BA24-CEE1842D4C44.jpeg,images/est-2483-phantom-blue/02-037.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2483-phantom-blue/02-037.jpg,EST-2483,Phantom Blue,yes,275.7
39,B586A66B-3ECB-491B-A484-E535677298D8.jpeg,images/est-2483-phantom-blue/03-039.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2483-phantom-blue/03-039.jpg,EST-2483,Phantom Blue,yes,248.5
44,22F31497-BA66-4847-AA6B-A23180C8C8D9.jpeg,images/est-2483-phantom-blue/04-044.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2483-phantom-blue/04-044.jpg,EST-2483,Phantom Blue,yes,272.9
22,4F2BB193-7D07-4E9C-85BD-31F03731754E.jpeg,images/est-1441-journey-flying-model-rocket-launch-set/01-022.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1441-journey-flying-model-rocket-launch-set/01-022.jpg,EST-1441,Journey Flying Model Rocket Launch Set,yes,230.4
38,5BD60F0F-6190-4A04-B374-0CADD170207B.jpeg,images/est-1441-journey-flying-model-rocket-launch-set/02-038.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1441-journey-flying-model-rocket-launch-set/02-038.jpg,EST-1441,Journey Flying Model Rocket Launch Set,yes,210.3
46,8C32EB3C-5F04-45BE-9D0B-9623EA6F4605.jpeg,images/est-1441-journey-flying-model-rocket-launch-set/03-046.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1441-journey-flying-model-rocket-launch-set/03-046.jpg,EST-1441,Journey Flying Model Rocket Launch Set,yes,269.9
52,05B94D63-2F1C-488C-A685-BF244D4990F5.jpeg,images/est-1441-journey-flying-model-rocket-launch-set/04-052.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1441-journey-flying-model-rocket-launch-set/04-052.jpg,EST-1441,Journey Flying Model Rocket Launch Set,yes,264.4
55,12478E47-3DBD-4B62-88BF-4C267A4A6D20.jpeg,images/est-1441-journey-flying-model-rocket-launch-set/05-055.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1441-journey-flying-model-rocket-launch-set/05-055.jpg,EST-1441,Journey Flying Model Rocket Launch Set,yes,281.9
24,753E0F66-7E83-46DE-BB09-097002D9CBDB.jpeg,images/est-1295-mean-machine/01-024.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1295-mean-machine/01-024.jpg,EST-1295,Mean Machine,yes,250.0
36,58555C67-08C4-435E-818E-39D4047319F7.jpeg,images/est-1295-mean-machine/02-036.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1295-mean-machine/02-036.jpg,EST-1295,Mean Machine,yes,290.0
35,0AA2169D-E1CD-4FB5-9865-DB1394BF6B79.jpeg,images/est-1295-mean-machine/03-035.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1295-mean-machine/03-035.jpg,EST-1295,Mean Machine,yes,363.3
23,5699D14E-B50B-424D-9793-794ADE5DD94D.jpeg,images/est-2244-3-16-in-maxi-launch-rod/01-023.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2244-3-16-in-maxi-launch-rod/01-023.jpg,EST-2244,3/16 in Maxi Launch Rod,yes,163.8
48,D65CCA67-991A-4543-8FD4-F89E4244BB98.jpeg,images/est-2244-3-16-in-maxi-launch-rod/02-048.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2244-3-16-in-maxi-launch-rod/02-048.jpg,EST-2244,3/16 in Maxi Launch Rod,yes,301.4
49,0E5FA28C-D40E-42CC-8EBC-E8A972B6F47B.jpeg,images/est-2244-3-16-in-maxi-launch-rod/03-049.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2244-3-16-in-maxi-launch-rod/03-049.jpg,EST-2244,3/16 in Maxi Launch Rod,yes,296.0
15,BC859328-D400-42D1-9820-92B20D802EC2.jpeg,images/est-2422-reflector/01-015.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2422-reflector/01-015.jpg,EST-2422,Reflector,yes,175.7
18,0A05B2AE-FCC9-435B-A1F7-606EBEA2728C.jpeg,images/est-2422-reflector/02-018.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-2422-reflector/02-018.jpg,EST-2422,Reflector,yes,175.7
